nodenumber     x-coordinate     y-coordinate           udm-11 
         1  0.000000000E+00  0.000000000E+00  1.000303082E+01 
         2  1.007701384E+00  0.000000000E+00  1.000288463E+01 
         3  2.007247274E+00  0.000000000E+00  1.000112033E+01 
         4  2.998703673E+00  0.000000000E+00  9.999543060E+00 
         5  3.982136051E+00  0.000000000E+00  9.999577786E+00 
         6  4.957609346E+00  0.000000000E+00  9.999581624E+00 
         7  5.925187975E+00  0.000000000E+00  9.999571397E+00 
         8  6.884935829E+00  0.000000000E+00  9.999551008E+00 
         9  7.836916284E+00  0.000000000E+00  9.999523303E+00 
        10  8.781192203E+00  0.000000000E+00  9.999490310E+00 
        11  9.717825941E+00  0.000000000E+00  9.999453482E+00 
        12  1.064687935E+01  0.000000000E+00  9.999413860E+00 
        13  1.156841377E+01  0.000000000E+00  9.999372196E+00 
        14  1.248249006E+01  0.000000000E+00  9.999329029E+00 
        15  1.338916858E+01  0.000000000E+00  9.999284751E+00 
        16  1.428850920E+01  0.000000000E+00  9.999239646E+00 
        17  1.518057130E+01  0.000000000E+00  9.999193918E+00 
        18  1.606541380E+01  0.000000000E+00  9.999147719E+00 
        19  1.694309512E+01  0.000000000E+00  9.999101157E+00 
        20  1.781367322E+01  0.000000000E+00  9.999054311E+00 
        21  1.867720559E+01  0.000000000E+00  9.999007239E+00 
        22  1.953374925E+01  0.000000000E+00  9.998959980E+00 
        23  2.038336076E+01  0.000000000E+00  9.998912564E+00 
        24  2.122609622E+01  0.000000000E+00  9.998865007E+00 
        25  2.206201128E+01  0.000000000E+00  9.998817320E+00 
        26  2.289116114E+01  0.000000000E+00  9.998769507E+00 
        27  2.371360056E+01  0.000000000E+00  9.998721565E+00 
        28  2.452938383E+01  0.000000000E+00  9.998673487E+00 
        29  2.533856484E+01  0.000000000E+00  9.998625261E+00 
        30  2.614119701E+01  0.000000000E+00  9.998576871E+00 
        31  2.693733335E+01  0.000000000E+00  9.998528296E+00 
        32  2.772702642E+01  0.000000000E+00  9.998479511E+00 
        33  2.851032837E+01  0.000000000E+00  9.998430486E+00 
        34  2.928729093E+01  0.000000000E+00  9.998381185E+00 
        35  3.005796541E+01  0.000000000E+00  9.998331570E+00 
        36  3.082240268E+01  0.000000000E+00  9.998281595E+00 
        37  3.158065324E+01  0.000000000E+00  9.998231211E+00 
        38  3.233276716E+01  0.000000000E+00  9.998180360E+00 
        39  3.307879409E+01  0.000000000E+00  9.998128982E+00 
        40  3.381878330E+01  0.000000000E+00  9.998077008E+00 
        41  3.455278365E+01  0.000000000E+00  9.998024364E+00 
        42  3.528084362E+01  0.000000000E+00  9.997970968E+00 
        43  3.600301127E+01  0.000000000E+00  9.997916731E+00 
