nodenumber     x-coordinate     y-coordinate           udm-12 
         1  0.000000000E+00  0.000000000E+00  9.997202650E+00 
         2  1.007701384E+00  0.000000000E+00  9.997314366E+00 
         3  2.007247274E+00  0.000000000E+00  9.998897009E+00 
         4  2.998703673E+00  0.000000000E+00  1.000032097E+01 
         5  3.982136051E+00  0.000000000E+00  1.000027068E+01 
         6  4.957609346E+00  0.000000000E+00  1.000024944E+01 
         7  5.925187975E+00  0.000000000E+00  1.000024176E+01 
         8  6.884935829E+00  0.000000000E+00  1.000024391E+01 
         9  7.836916284E+00  0.000000000E+00  1.000025316E+01 
        10  8.781192203E+00  0.000000000E+00  1.000026759E+01 
        11  9.717825941E+00  0.000000000E+00  1.000028579E+01 
        12  1.064687935E+01  0.000000000E+00  1.000030676E+01 
        13  1.156841377E+01  0.000000000E+00  1.000032975E+01 
        14  1.248249006E+01  0.000000000E+00  1.000035424E+01 
        15  1.338916858E+01  0.000000000E+00  1.000037984E+01 
        16  1.428850920E+01  0.000000000E+00  1.000040625E+01 
        17  1.518057130E+01  0.000000000E+00  1.000043326E+01 
        18  1.606541380E+01  0.000000000E+00  1.000046072E+01 
        19  1.694309512E+01  0.000000000E+00  1.000048850E+01 
        20  1.781367322E+01  0.000000000E+00  1.000051652E+01 
        21  1.867720559E+01  0.000000000E+00  1.000054469E+01 
        22  1.953374925E+01  0.000000000E+00  1.000057297E+01 
        23  2.038336076E+01  0.000000000E+00  1.000060130E+01 
        24  2.122609622E+01  0.000000000E+00  1.000062964E+01 
        25  2.206201128E+01  0.000000000E+00  1.000065796E+01 
        26  2.289116114E+01  0.000000000E+00  1.000068621E+01 
        27  2.371360056E+01  0.000000000E+00  1.000071438E+01 
        28  2.452938383E+01  0.000000000E+00  1.000074241E+01 
        29  2.533856484E+01  0.000000000E+00  1.000077027E+01 
        30  2.614119701E+01  0.000000000E+00  1.000079793E+01 
        31  2.693733335E+01  0.000000000E+00  1.000082533E+01 
        32  2.772702642E+01  0.000000000E+00  1.000085244E+01 
        33  2.851032837E+01  0.000000000E+00  1.000087920E+01 
        34  2.928729093E+01  0.000000000E+00  1.000090555E+01 
