nodenumber     x-coordinate     y-coordinate           udm-12 
         1  0.000000000E+00  0.000000000E+00  9.997882570E+00 
         2  1.007701384E+00  0.000000000E+00  9.997969948E+00 
         3  2.007247274E+00  0.000000000E+00  9.999174579E+00 
         4  2.998703673E+00  0.000000000E+00  1.000025842E+01 
         5  3.982136051E+00  0.000000000E+00  1.000022450E+01 
         6  4.957609346E+00  0.000000000E+00  1.000021227E+01 
         7  5.925187975E+00  0.000000000E+00  1.000021000E+01 
         8  6.884935829E+00  0.000000000E+00  1.000021488E+01 
         9  7.836916284E+00  0.000000000E+00  1.000022485E+01 
        10  8.781192203E+00  0.000000000E+00  1.000023842E+01 
        11  9.717825941E+00  0.000000000E+00  1.000025450E+01 
        12  1.064687935E+01  0.000000000E+00  1.000027229E+01 
        13  1.156841377E+01  0.000000000E+00  1.000029120E+01 
        14  1.248249006E+01  0.000000000E+00  1.000031078E+01 
        15  1.338916858E+01  0.000000000E+00  1.000033068E+01 
        16  1.428850920E+01  0.000000000E+00  1.000035063E+01 
        17  1.518057130E+01  0.000000000E+00  1.000037040E+01 
        18  1.606541380E+01  0.000000000E+00  1.000038980E+01 
        19  1.694309512E+01  0.000000000E+00  1.000040868E+01 
        20  1.781367322E+01  0.000000000E+00  1.000042689E+01 
        21  1.867720559E+01  0.000000000E+00  1.000044428E+01 
        22  1.953374925E+01  0.000000000E+00  1.000046072E+01 
        23  2.038336076E+01  0.000000000E+00  1.000047608E+01 
        24  2.122609622E+01  0.000000000E+00  1.000049023E+01 
        25  2.206201128E+01  0.000000000E+00  1.000050301E+01 
        26  2.289116114E+01  0.000000000E+00  1.000051429E+01 
        27  2.371360056E+01  0.000000000E+00  1.000052393E+01 
        28  2.452938383E+01  0.000000000E+00  1.000053175E+01 
        29  2.533856484E+01  0.000000000E+00  1.000053760E+01 
        30  2.614119701E+01  0.000000000E+00  1.000054129E+01 
        31  2.693733335E+01  0.000000000E+00  1.000054265E+01 
        32  2.772702642E+01  0.000000000E+00  1.000054149E+01 
        33  2.851032837E+01  0.000000000E+00  1.000053759E+01 
        34  2.928729093E+01  0.000000000E+00  1.000053074E+01 
        35  3.005796541E+01  0.000000000E+00  1.000052072E+01 
        36  3.082240268E+01  0.000000000E+00  1.000050729E+01 
        37  3.158065324E+01  0.000000000E+00  1.000049020E+01 
        38  3.233276716E+01  0.000000000E+00  1.000046919E+01 
        39  3.307879409E+01  0.000000000E+00  1.000044399E+01 
        40  3.381878330E+01  0.000000000E+00  1.000041432E+01 
        41  3.455278365E+01  0.000000000E+00  1.000037988E+01 
        42  3.528084362E+01  0.000000000E+00  1.000034037E+01 
        43  3.600301127E+01  0.000000000E+00  1.000029547E+01 
        44  3.671933431E+01  0.000000000E+00  1.000024485E+01 
        45  3.742986002E+01  0.000000000E+00  1.000018817E+01 
        46  3.813463533E+01  0.000000000E+00  1.000012509E+01 
        47  3.883370678E+01  0.000000000E+00  1.000005522E+01 
        48  3.952712052E+01  0.000000000E+00  9.999978218E+00 
        49  4.021492235E+01  0.000000000E+00  9.999893682E+00 
        50  4.089715769E+01  0.000000000E+00  9.999801223E+00 
        51  4.157387159E+01  0.000000000E+00  9.999700439E+00 
        52  4.224510872E+01  0.000000000E+00  9.999590917E+00 
        53  4.291091342E+01  0.000000000E+00  9.999472236E+00 
        54  4.357132966E+01  0.000000000E+00  9.999343966E+00 
        55  4.422640104E+01  0.000000000E+00  9.999205670E+00 
        56  4.487617081E+01  0.000000000E+00  9.999056904E+00 
        57  4.552068189E+01  0.000000000E+00  9.998897215E+00 
        58  4.615997684E+01  0.000000000E+00  9.998726147E+00 
        59  4.679409786E+01  0.000000000E+00  9.998543237E+00 
        60  4.742308684E+01  0.000000000E+00  9.998348018E+00 
        61  4.804698530E+01  0.000000000E+00  9.998140017E+00 
        62  4.866583446E+01  0.000000000E+00  9.997918760E+00 
        63  4.927967516E+01  0.000000000E+00  9.997683771E+00 
        64  4.988854795E+01  0.000000000E+00  9.997434569E+00 
        65  5.049249303E+01  0.000000000E+00  9.997170675E+00 
        66  5.109155028E+01  0.000000000E+00  9.996891610E+00 
        67  5.168575926E+01  0.000000000E+00  9.996596894E+00 
        68  5.227515921E+01  0.000000000E+00  9.996286050E+00 
        69  5.285978905E+01  0.000000000E+00  9.995958604E+00 
        70  5.343968738E+01  0.000000000E+00  9.995614085E+00 
        71  5.401489250E+01  0.000000000E+00  9.995252027E+00 
        72  5.458544238E+01  0.000000000E+00  9.994871968E+00 
        73  5.515137472E+01  0.000000000E+00  9.994473456E+00 
        74  5.571272686E+01  0.000000000E+00  9.994056044E+00 
        75  5.626953590E+01  0.000000000E+00  9.993619295E+00 
        76  5.682183858E+01  0.000000000E+00  9.993162781E+00 
        77  5.736967139E+01  0.000000000E+00  9.992686086E+00 
        78  5.791307049E+01  0.000000000E+00  9.992188807E+00 
        79  5.845207178E+01  0.000000000E+00  9.991670552E+00 
        80  5.898671083E+01  0.000000000E+00  9.991130947E+00 
        81  5.951702297E+01  0.000000000E+00  9.990569633E+00 
        82  6.004304320E+01  0.000000000E+00  9.989986268E+00 
        83  6.056480627E+01  0.000000000E+00  9.989380530E+00 
        84  6.108234661E+01  0.000000000E+00  9.988752119E+00 
        85  6.159569842E+01  0.000000000E+00  9.988100757E+00 
        86  6.210489559E+01  0.000000000E+00  9.987426189E+00 
        87  6.260997174E+01  0.000000000E+00  9.986728189E+00 
        88  6.311096022E+01  0.000000000E+00  9.986006558E+00 
        89  6.360789412E+01  0.000000000E+00  9.985261130E+00 
        90  6.410080625E+01  0.000000000E+00  9.984491770E+00 
        91  6.458972916E+01  0.000000000E+00  9.983698382E+00 
        92  6.507469514E+01  0.000000000E+00  9.982880908E+00 
        93  6.555573621E+01  0.000000000E+00  9.982039332E+00 
        94  6.603288413E+01  0.000000000E+00  9.981173687E+00 
        95  6.650617042E+01  0.000000000E+00  9.980284054E+00 
        96  6.697562632E+01  0.000000000E+00  9.979370569E+00 
        97  6.744128283E+01  0.000000000E+00  9.978433429E+00 
        98  6.790317071E+01  0.000000000E+00  9.977472894E+00 
        99  6.836132046E+01  0.000000000E+00  9.976489296E+00 
