nodenumber     x-coordinate     y-coordinate           udm-12 
         1  0.000000000E+00  0.000000000E+00  9.997751459E+00 
         2  1.007701384E+00  0.000000000E+00  9.997844966E+00 
         3  2.007247274E+00  0.000000000E+00  9.999126265E+00 
         4  2.998703673E+00  0.000000000E+00  1.000027984E+01 
         5  3.982136051E+00  0.000000000E+00  1.000024630E+01 
         6  4.957609346E+00  0.000000000E+00  1.000023577E+01 
         7  5.925187975E+00  0.000000000E+00  1.000023583E+01 
         8  6.884935829E+00  0.000000000E+00  1.000024352E+01 
         9  7.836916284E+00  0.000000000E+00  1.000025667E+01 
        10  8.781192203E+00  0.000000000E+00  1.000027373E+01 
        11  9.717825941E+00  0.000000000E+00  1.000029356E+01 
        12  1.064687935E+01  0.000000000E+00  1.000031533E+01 
        13  1.156841377E+01  0.000000000E+00  1.000033842E+01 
        14  1.248249006E+01  0.000000000E+00  1.000036237E+01 
        15  1.338916858E+01  0.000000000E+00  1.000038684E+01 
        16  1.428850920E+01  0.000000000E+00  1.000041155E+01 
        17  1.518057130E+01  0.000000000E+00  1.000043629E+01 
        18  1.606541380E+01  0.000000000E+00  1.000046088E+01 
        19  1.694309512E+01  0.000000000E+00  1.000048518E+01 
        20  1.781367322E+01  0.000000000E+00  1.000050906E+01 
        21  1.867720559E+01  0.000000000E+00  1.000053238E+01 
        22  1.953374925E+01  0.000000000E+00  1.000055504E+01 
        23  2.038336076E+01  0.000000000E+00  1.000057692E+01 
        24  2.122609622E+01  0.000000000E+00  1.000059792E+01 
        25  2.206201128E+01  0.000000000E+00  1.000061791E+01 
        26  2.289116114E+01  0.000000000E+00  1.000063679E+01 
        27  2.371360056E+01  0.000000000E+00  1.000065443E+01 
        28  2.452938383E+01  0.000000000E+00  1.000067069E+01 
        29  2.533856484E+01  0.000000000E+00  1.000068545E+01 
        30  2.614119701E+01  0.000000000E+00  1.000069856E+01 
        31  2.693733335E+01  0.000000000E+00  1.000070986E+01 
        32  2.772702642E+01  0.000000000E+00  1.000071920E+01 
        33  2.851032837E+01  0.000000000E+00  1.000072641E+01 
        34  2.928729093E+01  0.000000000E+00  1.000073129E+01 
        35  3.005796541E+01  0.000000000E+00  1.000073368E+01 
        36  3.082240268E+01  0.000000000E+00  1.000073335E+01 
        37  3.158065324E+01  0.000000000E+00  1.000073011E+01 
        38  3.233276716E+01  0.000000000E+00  1.000072372E+01 
        39  3.307879409E+01  0.000000000E+00  1.000071395E+01 
        40  3.381878330E+01  0.000000000E+00  1.000070057E+01 
        41  3.455278365E+01  0.000000000E+00  1.000068330E+01 
        42  3.528084362E+01  0.000000000E+00  1.000066189E+01 
        43  3.600301127E+01  0.000000000E+00  1.000063605E+01 
        44  3.671933431E+01  0.000000000E+00  1.000060550E+01 
        45  3.742986002E+01  0.000000000E+00  1.000056992E+01 
        46  3.813463533E+01  0.000000000E+00  1.000052900E+01 
        47  3.883370678E+01  0.000000000E+00  1.000048241E+01 
        48  3.952712052E+01  0.000000000E+00  1.000042983E+01 
        49  4.021492235E+01  0.000000000E+00  1.000037090E+01 
        50  4.089715769E+01  0.000000000E+00  1.000030525E+01 
        51  4.157387159E+01  0.000000000E+00  1.000023252E+01 
        52  4.224510872E+01  0.000000000E+00  1.000015233E+01 
        53  4.291091342E+01  0.000000000E+00  1.000006429E+01 
        54  4.357132966E+01  0.000000000E+00  9.999967990E+00 
        55  4.422640104E+01  0.000000000E+00  9.999863027E+00 
        56  4.487617081E+01  0.000000000E+00  9.999748980E+00 
        57  4.552068189E+01  0.000000000E+00  9.999625422E+00 
        58  4.615997684E+01  0.000000000E+00  9.999491917E+00 
        59  4.679409786E+01  0.000000000E+00  9.999348022E+00 
        60  4.742308684E+01  0.000000000E+00  9.999193289E+00 
        61  4.804698530E+01  0.000000000E+00  9.999027261E+00 
        62  4.866583446E+01  0.000000000E+00  9.998849478E+00 
        63  4.927967516E+01  0.000000000E+00  9.998659474E+00 
        64  4.988854795E+01  0.000000000E+00  9.998456779E+00 
        65  5.049249303E+01  0.000000000E+00  9.998240920E+00 
        66  5.109155028E+01  0.000000000E+00  9.998011421E+00 
        67  5.168575926E+01  0.000000000E+00  9.997767805E+00 
        68  5.227515921E+01  0.000000000E+00  9.997509594E+00 
        69  5.285978905E+01  0.000000000E+00  9.997236310E+00 
        70  5.343968738E+01  0.000000000E+00  9.996947475E+00 
        71  5.401489250E+01  0.000000000E+00  9.996642614E+00 
        72  5.458544238E+01  0.000000000E+00  9.996321254E+00 
        73  5.515137472E+01  0.000000000E+00  9.995982925E+00 
        74  5.571272686E+01  0.000000000E+00  9.995627166E+00 
        75  5.626953590E+01  0.000000000E+00  9.995253516E+00 
        76  5.682183858E+01  0.000000000E+00  9.994861525E+00 
        77  5.736967139E+01  0.000000000E+00  9.994450750E+00 
        78  5.791307049E+01  0.000000000E+00  9.994020758E+00 
        79  5.845207178E+01  0.000000000E+00  9.993571126E+00 
        80  5.898671083E+01  0.000000000E+00  9.993101444E+00 
        81  5.951702297E+01  0.000000000E+00  9.992611314E+00 
        82  6.004304320E+01  0.000000000E+00  9.992100353E+00 
        83  6.056480627E+01  0.000000000E+00  9.991568196E+00 
        84  6.108234661E+01  0.000000000E+00  9.991014496E+00 
        85  6.159569842E+01  0.000000000E+00  9.990438924E+00 
        86  6.210489559E+01  0.000000000E+00  9.989841175E+00 
        87  6.260997174E+01  0.000000000E+00  9.989220966E+00 
        88  6.311096022E+01  0.000000000E+00  9.988578042E+00 
        89  6.360789412E+01  0.000000000E+00  9.987912174E+00 
        90  6.410080625E+01  0.000000000E+00  9.987223168E+00 
        91  6.458972916E+01  0.000000000E+00  9.986510858E+00 
        92  6.507469514E+01  0.000000000E+00  9.985775121E+00 
        93  6.555573621E+01  0.000000000E+00  9.985015870E+00 
