nodenumber     x-coordinate     y-coordinate           udm-12 
         1  0.000000000E+00  0.000000000E+00  9.991153354E+00 
         2  1.007701384E+00  0.000000000E+00  9.991446386E+00 
         3  2.007247274E+00  0.000000000E+00  9.996355025E+00 
         4  2.998703673E+00  0.000000000E+00  1.000085923E+01 
         5  3.982136051E+00  0.000000000E+00  1.000076017E+01 
         6  4.957609346E+00  0.000000000E+00  1.000072917E+01 
         7  5.925187975E+00  0.000000000E+00  1.000072440E+01 
         8  6.884935829E+00  0.000000000E+00  1.000073825E+01 
         9  7.836916284E+00  0.000000000E+00  1.000076516E+01 
        10  8.781192203E+00  0.000000000E+00  1.000080121E+01 
        11  9.717825941E+00  0.000000000E+00  1.000084365E+01 
        12  1.064687935E+01  0.000000000E+00  1.000089061E+01 
        13  1.156841377E+01  0.000000000E+00  1.000094082E+01 
        14  1.248249006E+01  0.000000000E+00  1.000099343E+01 
        15  1.338916858E+01  0.000000000E+00  1.000104789E+01 
        16  1.428850920E+01  0.000000000E+00  1.000110387E+01 
        17  1.518057130E+01  0.000000000E+00  1.000116113E+01 
        18  1.606541380E+01  0.000000000E+00  1.000121956E+01 
        19  1.694309512E+01  0.000000000E+00  1.000127908E+01 
        20  1.781367322E+01  0.000000000E+00  1.000133965E+01 
        21  1.867720559E+01  0.000000000E+00  1.000140126E+01 
        22  1.953374925E+01  0.000000000E+00  1.000146389E+01 
        23  2.038336076E+01  0.000000000E+00  1.000152756E+01 
        24  2.122609622E+01  0.000000000E+00  1.000159227E+01 
        25  2.206201128E+01  0.000000000E+00  1.000165803E+01 
        26  2.289116114E+01  0.000000000E+00  1.000172484E+01 
        27  2.371360056E+01  0.000000000E+00  1.000179271E+01 
        28  2.452938383E+01  0.000000000E+00  1.000186164E+01 
        29  2.533856484E+01  0.000000000E+00  1.000193165E+01 
        30  2.614119701E+01  0.000000000E+00  1.000200272E+01 
        31  2.693733335E+01  0.000000000E+00  1.000207487E+01 
        32  2.772702642E+01  0.000000000E+00  1.000214809E+01 
        33  2.851032837E+01  0.000000000E+00  1.000222237E+01 
        34  2.928729093E+01  0.000000000E+00  1.000229772E+01 
        35  3.005796541E+01  0.000000000E+00  1.000237413E+01 
        36  3.082240268E+01  0.000000000E+00  1.000245158E+01 
        37  3.158065324E+01  0.000000000E+00  1.000253007E+01 
        38  3.233276716E+01  0.000000000E+00  1.000260960E+01 
        39  3.307879409E+01  0.000000000E+00  1.000269013E+01 
        40  3.381878330E+01  0.000000000E+00  1.000277167E+01 
        41  3.455278365E+01  0.000000000E+00  1.000285419E+01 
        42  3.528084362E+01  0.000000000E+00  1.000293767E+01 
        43  3.600301127E+01  0.000000000E+00  1.000302211E+01 
        44  3.671933431E+01  0.000000000E+00  1.000310748E+01 
        45  3.742986002E+01  0.000000000E+00  1.000319376E+01 
        46  3.813463533E+01  0.000000000E+00  1.000328093E+01 
        47  3.883370678E+01  0.000000000E+00  1.000336896E+01 
        48  3.952712052E+01  0.000000000E+00  1.000345785E+01 
        49  4.021492235E+01  0.000000000E+00  1.000354755E+01 
        50  4.089715769E+01  0.000000000E+00  1.000363805E+01 
        51  4.157387159E+01  0.000000000E+00  1.000372933E+01 
        52  4.224510872E+01  0.000000000E+00  1.000382136E+01 
        53  4.291091342E+01  0.000000000E+00  1.000391412E+01 
        54  4.357132966E+01  0.000000000E+00  1.000400758E+01 
        55  4.422640104E+01  0.000000000E+00  1.000410172E+01 
        56  4.487617081E+01  0.000000000E+00  1.000419651E+01 
        57  4.552068189E+01  0.000000000E+00  1.000429193E+01 
        58  4.615997684E+01  0.000000000E+00  1.000438796E+01 
        59  4.679409786E+01  0.000000000E+00  1.000448456E+01 
        60  4.742308684E+01  0.000000000E+00  1.000458172E+01 
        61  4.804698530E+01  0.000000000E+00  1.000467940E+01 
        62  4.866583446E+01  0.000000000E+00  1.000477759E+01 
        63  4.927967516E+01  0.000000000E+00  1.000487626E+01 
        64  4.988854795E+01  0.000000000E+00  1.000497538E+01 
        65  5.049249303E+01  0.000000000E+00  1.000507493E+01 
        66  5.109155028E+01  0.000000000E+00  1.000517487E+01 
        67  5.168575926E+01  0.000000000E+00  1.000527518E+01 
