nodenumber     x-coordinate     y-coordinate           udm-12 
         1  0.000000000E+00  0.000000000E+00  9.997299004E+00 
         2  1.007701384E+00  0.000000000E+00  9.997405108E+00 
         3  2.007247274E+00  0.000000000E+00  9.998928896E+00 
         4  2.998703673E+00  0.000000000E+00  1.000029954E+01 
         5  3.982136051E+00  0.000000000E+00  1.000024749E+01 
         6  4.957609346E+00  0.000000000E+00  1.000022331E+01 
         7  5.925187975E+00  0.000000000E+00  1.000021213E+01 
         8  6.884935829E+00  0.000000000E+00  1.000021036E+01 
         9  7.836916284E+00  0.000000000E+00  1.000021540E+01 
        10  8.781192203E+00  0.000000000E+00  1.000022540E+01 
        11  9.717825941E+00  0.000000000E+00  1.000023900E+01 
        12  1.064687935E+01  0.000000000E+00  1.000025524E+01 
        13  1.156841377E+01  0.000000000E+00  1.000027341E+01 
        14  1.248249006E+01  0.000000000E+00  1.000029300E+01 
        15  1.338916858E+01  0.000000000E+00  1.000031362E+01 
        16  1.428850920E+01  0.000000000E+00  1.000033499E+01 
        17  1.518057130E+01  0.000000000E+00  1.000035691E+01 
        18  1.606541380E+01  0.000000000E+00  1.000037921E+01 
        19  1.694309512E+01  0.000000000E+00  1.000040177E+01 
        20  1.781367322E+01  0.000000000E+00  1.000042450E+01 
        21  1.867720559E+01  0.000000000E+00  1.000044730E+01 
        22  1.953374925E+01  0.000000000E+00  1.000047012E+01 
        23  2.038336076E+01  0.000000000E+00  1.000049289E+01 
        24  2.122609622E+01  0.000000000E+00  1.000051556E+01 
        25  2.206201128E+01  0.000000000E+00  1.000053807E+01 
        26  2.289116114E+01  0.000000000E+00  1.000056038E+01 
        27  2.371360056E+01  0.000000000E+00  1.000058243E+01 
        28  2.452938383E+01  0.000000000E+00  1.000060417E+01 
        29  2.533856484E+01  0.000000000E+00  1.000062553E+01 
        30  2.614119701E+01  0.000000000E+00  1.000064646E+01 
        31  2.693733335E+01  0.000000000E+00  1.000066690E+01 
        32  2.772702642E+01  0.000000000E+00  1.000068676E+01 
        33  2.851032837E+01  0.000000000E+00  1.000070598E+01 
        34  2.928729093E+01  0.000000000E+00  1.000072447E+01 
        35  3.005796541E+01  0.000000000E+00  1.000074214E+01 
        36  3.082240268E+01  0.000000000E+00  1.000075889E+01 
        37  3.158065324E+01  0.000000000E+00  1.000077462E+01 
        38  3.233276716E+01  0.000000000E+00  1.000078921E+01 
        39  3.307879409E+01  0.000000000E+00  1.000080255E+01 
        40  3.381878330E+01  0.000000000E+00  1.000081450E+01 
        41  3.455278365E+01  0.000000000E+00  1.000082492E+01 
        42  3.528084362E+01  0.000000000E+00  1.000083367E+01 
        43  3.600301127E+01  0.000000000E+00  1.000084058E+01 
        44  3.671933431E+01  0.000000000E+00  1.000084548E+01 
        45  3.742986002E+01  0.000000000E+00  1.000084820E+01 
        46  3.813463533E+01  0.000000000E+00  1.000084854E+01 
        47  3.883370678E+01  0.000000000E+00  1.000084630E+01 
        48  3.952712052E+01  0.000000000E+00  1.000084127E+01 
        49  4.021492235E+01  0.000000000E+00  1.000083322E+01 
        50  4.089715769E+01  0.000000000E+00  1.000082192E+01 
        51  4.157387159E+01  0.000000000E+00  1.000080712E+01 
        52  4.224510872E+01  0.000000000E+00  1.000078856E+01 
        53  4.291091342E+01  0.000000000E+00  1.000076597E+01 
        54  4.357132966E+01  0.000000000E+00  1.000073907E+01 
        55  4.422640104E+01  0.000000000E+00  1.000070756E+01 
        56  4.487617081E+01  0.000000000E+00  1.000067113E+01 
        57  4.552068189E+01  0.000000000E+00  1.000062947E+01 
        58  4.615997684E+01  0.000000000E+00  1.000058225E+01 
        59  4.679409786E+01  0.000000000E+00  1.000052912E+01 
        60  4.742308684E+01  0.000000000E+00  1.000046974E+01 
        61  4.804698530E+01  0.000000000E+00  1.000040375E+01 
        62  4.866583446E+01  0.000000000E+00  1.000033076E+01 
        63  4.927967516E+01  0.000000000E+00  1.000025040E+01 
        64  4.988854795E+01  0.000000000E+00  1.000016228E+01 
        65  5.049249303E+01  0.000000000E+00  1.000006598E+01 
        66  5.109155028E+01  0.000000000E+00  9.999961114E+00 
        67  5.168575926E+01  0.000000000E+00  9.999847249E+00 
        68  5.227515921E+01  0.000000000E+00  9.999723962E+00 
        69  5.285978905E+01  0.000000000E+00  9.999590819E+00 
        70  5.343968738E+01  0.000000000E+00  9.999447383E+00 
        71  5.401489250E+01  0.000000000E+00  9.999293208E+00 
        72  5.458544238E+01  0.000000000E+00  9.999127845E+00 
        73  5.515137472E+01  0.000000000E+00  9.998950840E+00 
        74  5.571272686E+01  0.000000000E+00  9.998761738E+00 
        75  5.626953590E+01  0.000000000E+00  9.998560081E+00 
        76  5.682183858E+01  0.000000000E+00  9.998345409E+00 
        77  5.736967139E+01  0.000000000E+00  9.998117262E+00 
        78  5.791307049E+01  0.000000000E+00  9.997875184E+00 
        79  5.845207178E+01  0.000000000E+00  9.997618717E+00 
        80  5.898671083E+01  0.000000000E+00  9.997347409E+00 
        81  5.951702297E+01  0.000000000E+00  9.997060812E+00 
        82  6.004304320E+01  0.000000000E+00  9.996758484E+00 
        83  6.056480627E+01  0.000000000E+00  9.996439991E+00 
        84  6.108234661E+01  0.000000000E+00  9.996104908E+00 
        85  6.159569842E+01  0.000000000E+00  9.995752821E+00 
        86  6.210489559E+01  0.000000000E+00  9.995383326E+00 
        87  6.260997174E+01  0.000000000E+00  9.994996037E+00 
        88  6.311096022E+01  0.000000000E+00  9.994590582E+00 
        89  6.360789412E+01  0.000000000E+00  9.994166608E+00 
        90  6.410080625E+01  0.000000000E+00  9.993723784E+00 
        91  6.458972916E+01  0.000000000E+00  9.993261801E+00 
        92  6.507469514E+01  0.000000000E+00  9.992780376E+00 
        93  6.555573621E+01  0.000000000E+00  9.992279257E+00 
        94  6.603288413E+01  0.000000000E+00  9.991758223E+00 
        95  6.650617042E+01  0.000000000E+00  9.991217090E+00 
        96  6.697562632E+01  0.000000000E+00  9.990655715E+00 
        97  6.744128283E+01  0.000000000E+00  9.990073998E+00 
        98  6.790317071E+01  0.000000000E+00  9.989471888E+00 
        99  6.836132046E+01  0.000000000E+00  9.988849390E+00 
       100  6.881576232E+01  0.000000000E+00  9.988206568E+00 
       101  6.926652631E+01  0.000000000E+00  9.987543553E+00 
       102  6.971364219E+01  0.000000000E+00  9.986860550E+00 
       103  7.015713949E+01  0.000000000E+00  9.986157844E+00 
       104  7.059704749E+01  0.000000000E+00  9.985435811E+00 
       105  7.103339524E+01  0.000000000E+00  9.984694925E+00 
       106  7.146621156E+01  0.000000000E+00  9.983935768E+00 
       107  7.189552503E+01  0.000000000E+00  9.983159045E+00 
       108  7.232136399E+01  0.000000000E+00  9.982365590E+00 
       109  7.274375656E+01  0.000000000E+00  9.981556384E+00 
       110  7.316273064E+01  0.000000000E+00  9.980732571E+00 
       111  7.357831389E+01  0.000000000E+00  9.979895468E+00 
       112  7.399053376E+01  0.000000000E+00  9.979046587E+00 
       113  7.439941746E+01  0.000000000E+00  9.978187656E+00 
       114  7.480499201E+01  0.000000000E+00  9.977320635E+00 
       115  7.520728416E+01  0.000000000E+00  9.976447742E+00 
       116  7.560632051E+01  0.000000000E+00  9.975571480E+00 
       117  7.600212738E+01  0.000000000E+00  9.974694658E+00 
       118  7.639473092E+01  0.000000000E+00  9.973820428E+00 
       119  7.678415706E+01  0.000000000E+00  9.972952312E+00 
       120  7.717043151E+01  0.000000000E+00  9.972094239E+00 
       121  7.755357977E+01  0.000000000E+00  9.971250584E+00 
       122  7.793362715E+01  0.000000000E+00  9.970426207E+00 
       123  7.831059875E+01  0.000000000E+00  9.969626498E+00 
       124  7.868451945E+01  0.000000000E+00  9.968857426E+00 
       125  7.905541395E+01  0.000000000E+00  9.968125592E+00 
       126  7.942330674E+01  0.000000000E+00  9.967438281E+00 
       127  7.978822211E+01  0.000000000E+00  9.966803527E+00 
       128  8.015018416E+01  0.000000000E+00  9.966230176E+00 
       129  8.050921679E+01  0.000000000E+00  9.965727958E+00 
       130  8.086534371E+01  0.000000000E+00  9.965307558E+00 
       131  8.121858844E+01  0.000000000E+00  9.964980704E+00 
       132  8.156897429E+01  0.000000000E+00  9.964760247E+00 
       133  8.191652442E+01  0.000000000E+00  9.964660273E+00 
       134  8.226126177E+01  0.000000000E+00  9.964696139E+00 
       135  8.260320909E+01  0.000000000E+00  9.964884654E+00 
       136  8.294238899E+01  0.000000000E+00  9.965244210E+00 
       137  8.327882384E+01  0.000000000E+00  9.965794825E+00 
       138  8.361253587E+01  0.000000000E+00  9.966558312E+00 
       139  8.394354712E+01  0.000000000E+00  9.967558423E+00 
       140  8.427187943E+01  0.000000000E+00  9.968820993E+00 
       141  8.459755450E+01  0.000000000E+00  9.970374106E+00 
       142  8.492059382E+01  0.000000000E+00  9.972248259E+00 
       143  8.524101873E+01  0.000000000E+00  9.974476549E+00 
       144  8.555885039E+01  0.000000000E+00  9.977094863E+00 
       145  8.587410979E+01  0.000000000E+00  9.980142091E+00 
       146  8.618681774E+01  0.000000000E+00  9.983660344E+00 
       147  8.649699489E+01  0.000000000E+00  9.987695191E+00 
       148  8.680466173E+01  0.000000000E+00  9.992295912E+00 
       149  8.710983857E+01  0.000000000E+00  9.997515767E+00 
       150  8.741254556E+01  0.000000000E+00  1.000341229E+01 
       151  8.771280270E+01  0.000000000E+00  1.001004758E+01 
       152  8.801062980E+01  0.000000000E+00  1.001748866E+01 
       153  8.830604654E+01  0.000000000E+00  1.002580779E+01 
       154  8.859907242E+01  0.000000000E+00  1.003508291E+01 
       155  8.888972679E+01  0.000000000E+00  1.004539795E+01 
       156  8.917802885E+01  0.000000000E+00  1.005684336E+01 
       157  8.946399764E+01  0.000000000E+00  1.006951654E+01 
       158  8.974765203E+01  0.000000000E+00  1.008352233E+01 
       159  9.002901076E+01  0.000000000E+00  1.009897357E+01 
       160  9.030809241E+01  0.000000000E+00  1.011599171E+01 
       161  9.058491540E+01  0.000000000E+00  1.013470742E+01 
       162  9.085949802E+01  0.000000000E+00  1.015526129E+01 
       163  9.113185839E+01  0.000000000E+00  1.017780456E+01 
       164  9.140201451E+01  0.000000000E+00  1.020249998E+01 
       165  9.166998421E+01  0.000000000E+00  1.022952267E+01 
       166  9.193578518E+01  0.000000000E+00  1.025906108E+01 
       167  9.219943499E+01  0.000000000E+00  1.029131809E+01 
       168  9.246095103E+01  0.000000000E+00  1.032651214E+01 
       169  9.272035058E+01  0.000000000E+00  1.036487866E+01 
       170  9.297765077E+01  0.000000000E+00  1.040667054E+01 
       171  9.323286858E+01  0.000000000E+00  1.045216040E+01 
       172  9.348602087E+01  0.000000000E+00  1.050164427E+01 
       173  9.373712436E+01  0.000000000E+00  1.055658455E+01 
