nodenumber     x-coordinate     y-coordinate           udm-11 
         1  0.000000000E+00  0.000000000E+00  1.000291885E+01 
         2  1.007701384E+00  0.000000000E+00  1.000278352E+01 
         3  2.007247274E+00  0.000000000E+00  1.000109818E+01 
         4  2.998703673E+00  0.000000000E+00  9.999593681E+00 
         5  3.982136051E+00  0.000000000E+00  9.999639206E+00 
         6  4.957609346E+00  0.000000000E+00  9.999654537E+00 
         7  5.925187975E+00  0.000000000E+00  9.999656026E+00 
         8  6.884935829E+00  0.000000000E+00  9.999647538E+00 
         9  7.836916284E+00  0.000000000E+00  9.999631871E+00 
        10  8.781192203E+00  0.000000000E+00  9.999611023E+00 
        11  9.717825941E+00  0.000000000E+00  9.999586416E+00 
        12  1.064687935E+01  0.000000000E+00  9.999559068E+00 
        13  1.156841377E+01  0.000000000E+00  9.999529706E+00 
        14  1.248249006E+01  0.000000000E+00  9.999498849E+00 
        15  1.338916858E+01  0.000000000E+00  9.999466871E+00 
        16  1.428850920E+01  0.000000000E+00  9.999434038E+00 
        17  1.518057130E+01  0.000000000E+00  9.999400540E+00 
        18  1.606541380E+01  0.000000000E+00  9.999366513E+00 
        19  1.694309512E+01  0.000000000E+00  9.999332052E+00 
        20  1.781367322E+01  0.000000000E+00  9.999297224E+00 
        21  1.867720559E+01  0.000000000E+00  9.999262074E+00 
        22  1.953374925E+01  0.000000000E+00  9.999226631E+00 
        23  2.038336076E+01  0.000000000E+00  9.999190913E+00 
        24  2.122609622E+01  0.000000000E+00  9.999154927E+00 
        25  2.206201128E+01  0.000000000E+00  9.999118673E+00 
        26  2.289116114E+01  0.000000000E+00  9.999082144E+00 
        27  2.371360056E+01  0.000000000E+00  9.999045330E+00 
        28  2.452938383E+01  0.000000000E+00  9.999008212E+00 
        29  2.533856484E+01  0.000000000E+00  9.998970769E+00 
        30  2.614119701E+01  0.000000000E+00  9.998932974E+00 
        31  2.693733335E+01  0.000000000E+00  9.998894797E+00 
        32  2.772702642E+01  0.000000000E+00  9.998856201E+00 
