nodenumber     x-coordinate     y-coordinate           udm-11 
         1  0.000000000E+00  0.000000000E+00  1.000279666E+01 
         2  1.007701384E+00  0.000000000E+00  1.000267687E+01 
         3  2.007247274E+00  0.000000000E+00  1.000108669E+01 
         4  2.998703673E+00  0.000000000E+00  9.999670254E+00 
         5  3.982136051E+00  0.000000000E+00  9.999734318E+00 
         6  4.957609346E+00  0.000000000E+00  9.999768959E+00 
         7  5.925187975E+00  0.000000000E+00  9.999789941E+00 
         8  6.884935829E+00  0.000000000E+00  9.999801065E+00 
         9  7.836916284E+00  0.000000000E+00  9.999805089E+00 
        10  8.781192203E+00  0.000000000E+00  9.999803974E+00 
        11  9.717825941E+00  0.000000000E+00  9.999799116E+00 
        12  1.064687935E+01  0.000000000E+00  9.999791510E+00 
        13  1.156841377E+01  0.000000000E+00  9.999781866E+00 
        14  1.248249006E+01  0.000000000E+00  9.999770688E+00 
        15  1.338916858E+01  0.000000000E+00  9.999758333E+00 
        16  1.428850920E+01  0.000000000E+00  9.999745051E+00 
        17  1.518057130E+01  0.000000000E+00  9.999731018E+00 
        18  1.606541380E+01  0.000000000E+00  9.999716353E+00 
        19  1.694309512E+01  0.000000000E+00  9.999701134E+00 
        20  1.781367322E+01  0.000000000E+00  9.999685414E+00 
        21  1.867720559E+01  0.000000000E+00  9.999669219E+00 
        22  1.953374925E+01  0.000000000E+00  9.999652561E+00 
        23  2.038336076E+01  0.000000000E+00  9.999635441E+00 
        24  2.122609622E+01  0.000000000E+00  9.999617848E+00 
        25  2.206201128E+01  0.000000000E+00  9.999599764E+00 
        26  2.289116114E+01  0.000000000E+00  9.999581164E+00 
        27  2.371360056E+01  0.000000000E+00  9.999562015E+00 
        28  2.452938383E+01  0.000000000E+00  9.999542283E+00 
        29  2.533856484E+01  0.000000000E+00  9.999521924E+00 
        30  2.614119701E+01  0.000000000E+00  9.999500891E+00 
        31  2.693733335E+01  0.000000000E+00  9.999479131E+00 
        32  2.772702642E+01  0.000000000E+00  9.999456586E+00 
        33  2.851032837E+01  0.000000000E+00  9.999433192E+00 
        34  2.928729093E+01  0.000000000E+00  9.999408879E+00 
        35  3.005796541E+01  0.000000000E+00  9.999383570E+00 
        36  3.082240268E+01  0.000000000E+00  9.999357182E+00 
        37  3.158065324E+01  0.000000000E+00  9.999329625E+00 
        38  3.233276716E+01  0.000000000E+00  9.999300803E+00 
        39  3.307879409E+01  0.000000000E+00  9.999270610E+00 
        40  3.381878330E+01  0.000000000E+00  9.999238933E+00 
        41  3.455278365E+01  0.000000000E+00  9.999205652E+00 
        42  3.528084362E+01  0.000000000E+00  9.999170637E+00 
        43  3.600301127E+01  0.000000000E+00  9.999133748E+00 
        44  3.671933431E+01  0.000000000E+00  9.999094837E+00 
        45  3.742986002E+01  0.000000000E+00  9.999053748E+00 
        46  3.813463533E+01  0.000000000E+00  9.999010311E+00 
        47  3.883370678E+01  0.000000000E+00  9.998964350E+00 
        48  3.952712052E+01  0.000000000E+00  9.998915674E+00 
        49  4.021492235E+01  0.000000000E+00  9.998864086E+00 
        50  4.089715769E+01  0.000000000E+00  9.998809374E+00 
        51  4.157387159E+01  0.000000000E+00  9.998751316E+00 
        52  4.224510872E+01  0.000000000E+00  9.998689679E+00 
        53  4.291091342E+01  0.000000000E+00  9.998624218E+00 
        54  4.357132966E+01  0.000000000E+00  9.998554676E+00 
        55  4.422640104E+01  0.000000000E+00  9.998480784E+00 
        56  4.487617081E+01  0.000000000E+00  9.998402261E+00 
        57  4.552068189E+01  0.000000000E+00  9.998318812E+00 
        58  4.615997684E+01  0.000000000E+00  9.998230133E+00 
        59  4.679409786E+01  0.000000000E+00  9.998135905E+00 
        60  4.742308684E+01  0.000000000E+00  9.998035798E+00 
        61  4.804698530E+01  0.000000000E+00  9.997929469E+00 
        62  4.866583446E+01  0.000000000E+00  9.997816564E+00 
        63  4.927967516E+01  0.000000000E+00  9.997696716E+00 
        64  4.988854795E+01  0.000000000E+00  9.997569547E+00 
        65  5.049249303E+01  0.000000000E+00  9.997434665E+00 
        66  5.109155028E+01  0.000000000E+00  9.997291671E+00 
        67  5.168575926E+01  0.000000000E+00  9.997140150E+00 
        68  5.227515921E+01  0.000000000E+00  9.996979679E+00 
        69  5.285978905E+01  0.000000000E+00  9.996809824E+00 
        70  5.343968738E+01  0.000000000E+00  9.996630140E+00 
        71  5.401489250E+01  0.000000000E+00  9.996440173E+00 
        72  5.458544238E+01  0.000000000E+00  9.996239459E+00 
        73  5.515137472E+01  0.000000000E+00  9.996027527E+00 
        74  5.571272686E+01  0.000000000E+00  9.995803893E+00 
        75  5.626953590E+01  0.000000000E+00  9.995568070E+00 
        76  5.682183858E+01  0.000000000E+00  9.995319559E+00 
        77  5.736967139E+01  0.000000000E+00  9.995057858E+00 
        78  5.791307049E+01  0.000000000E+00  9.994782453E+00 
        79  5.845207178E+01  0.000000000E+00  9.994492828E+00 
        80  5.898671083E+01  0.000000000E+00  9.994188458E+00 
        81  5.951702297E+01  0.000000000E+00  9.993868813E+00 
        82  6.004304320E+01  0.000000000E+00  9.993533359E+00 
        83  6.056480627E+01  0.000000000E+00  9.993181554E+00 
        84  6.108234661E+01  0.000000000E+00  9.992812852E+00 
        85  6.159569842E+01  0.000000000E+00  9.992426700E+00 
        86  6.210489559E+01  0.000000000E+00  9.992022543E+00 
        87  6.260997174E+01  0.000000000E+00  9.991599816E+00 
        88  6.311096022E+01  0.000000000E+00  9.991157951E+00 
        89  6.360789412E+01  0.000000000E+00  9.990696371E+00 
        90  6.410080625E+01  0.000000000E+00  9.990214494E+00 
        91  6.458972916E+01  0.000000000E+00  9.989711728E+00 
        92  6.507469514E+01  0.000000000E+00  9.989187469E+00 
        93  6.555573621E+01  0.000000000E+00  9.988641107E+00 
        94  6.603288413E+01  0.000000000E+00  9.988072014E+00 
        95  6.650617042E+01  0.000000000E+00  9.987479551E+00 
        96  6.697562632E+01  0.000000000E+00  9.986863057E+00 
        97  6.744128283E+01  0.000000000E+00  9.986221855E+00 
        98  6.790317071E+01  0.000000000E+00  9.985555242E+00 
        99  6.836132046E+01  0.000000000E+00  9.984862486E+00 
       100  6.881576232E+01  0.000000000E+00  9.984142828E+00 
       101  6.926652631E+01  0.000000000E+00  9.983395466E+00 
       102  6.971364219E+01  0.000000000E+00  9.982619561E+00 
       103  7.015713949E+01  0.000000000E+00  9.981814223E+00 
       104  7.059704749E+01  0.000000000E+00  9.980978508E+00 
       105  7.103339524E+01  0.000000000E+00  9.980111407E+00 
       106  7.146621156E+01  0.000000000E+00  9.979211841E+00 
       107  7.189552503E+01  0.000000000E+00  9.978278649E+00 
       108  7.232136399E+01  0.000000000E+00  9.977310579E+00 
       109  7.274375656E+01  0.000000000E+00  9.976306274E+00 
       110  7.316273064E+01  0.000000000E+00  9.975264262E+00 
       111  7.357831389E+01  0.000000000E+00  9.974182940E+00 
       112  7.399053376E+01  0.000000000E+00  9.973060556E+00 
       113  7.439941746E+01  0.000000000E+00  9.971895198E+00 
       114  7.480499201E+01  0.000000000E+00  9.970684768E+00 
       115  7.520728416E+01  0.000000000E+00  9.969426969E+00 
       116  7.560632051E+01  0.000000000E+00  9.968119274E+00 
       117  7.600212738E+01  0.000000000E+00  9.966758909E+00 
       118  7.639473092E+01  0.000000000E+00  9.965342821E+00 
       119  7.678415706E+01  0.000000000E+00  9.963867653E+00 
       120  7.717043151E+01  0.000000000E+00  9.962329708E+00 
       121  7.755357977E+01  0.000000000E+00  9.960724919E+00 
       122  7.793362715E+01  0.000000000E+00  9.959048810E+00 
       123  7.831059875E+01  0.000000000E+00  9.957296454E+00 
       124  7.868451945E+01  0.000000000E+00  9.955462434E+00 
       125  7.905541395E+01  0.000000000E+00  9.953540793E+00 
       126  7.942330674E+01  0.000000000E+00  9.951524984E+00 
       127  7.978822211E+01  0.000000000E+00  9.949407816E+00 
       128  8.015018416E+01  0.000000000E+00  9.947181396E+00 
       129  8.050921679E+01  0.000000000E+00  9.944837068E+00 
       130  8.086534371E+01  0.000000000E+00  9.942365343E+00 
       131  8.121858844E+01  0.000000000E+00  9.939755829E+00 
       132  8.156897429E+01  0.000000000E+00  9.936997154E+00 
       133  8.191652442E+01  0.000000000E+00  9.934076885E+00 
       134  8.226126177E+01  0.000000000E+00  9.930981440E+00 
       135  8.260320909E+01  0.000000000E+00  9.927695995E+00 
       136  8.294238899E+01  0.000000000E+00  9.924204388E+00 
       137  8.327882384E+01  0.000000000E+00  9.920489011E+00 
       138  8.361253587E+01  0.000000000E+00  9.916530702E+00 
       139  8.394354712E+01  0.000000000E+00  9.912308625E+00 
       140  8.427187943E+01  0.000000000E+00  9.907800152E+00 
       141  8.459755450E+01  0.000000000E+00  9.902980728E+00 
       142  8.492059382E+01  0.000000000E+00  9.897823736E+00 
       143  8.524101873E+01  0.000000000E+00  9.892300353E+00 
       144  8.555885039E+01  0.000000000E+00  9.886379403E+00 
       145  8.587410979E+01  0.000000000E+00  9.880027194E+00 
       146  8.618681774E+01  0.000000000E+00  9.873207362E+00 
       147  8.649699489E+01  0.000000000E+00  9.865880697E+00 
       148  8.680466173E+01  0.000000000E+00  9.858004965E+00 
       149  8.710983857E+01  0.000000000E+00  9.849534731E+00 
       150  8.741254556E+01  0.000000000E+00  9.840421170E+00 
       151  8.771280270E+01  0.000000000E+00  9.830611873E+00 
       152  8.801062980E+01  0.000000000E+00  9.820050655E+00 
       153  8.830604654E+01  0.000000000E+00  9.808677350E+00 
       154  8.859907242E+01  0.000000000E+00  9.796427613E+00 
       155  8.888972679E+01  0.000000000E+00  9.783232715E+00 
       156  8.917802885E+01  0.000000000E+00  9.769019342E+00 
