nodenumber     x-coordinate     y-coordinate           udm-11 
         1  0.000000000E+00  0.000000000E+00  1.000240322E+01 
         2  1.007701384E+00  0.000000000E+00  1.000229872E+01 
         3  2.007247274E+00  0.000000000E+00  1.000092673E+01 
         4  2.998703673E+00  0.000000000E+00  9.999701919E+00 
         5  3.982136051E+00  0.000000000E+00  9.999749819E+00 
         6  4.957609346E+00  0.000000000E+00  9.999772795E+00 
         7  5.925187975E+00  0.000000000E+00  9.999784226E+00 
         8  6.884935829E+00  0.000000000E+00  9.999787271E+00 
         9  7.836916284E+00  0.000000000E+00  9.999784228E+00 
        10  8.781192203E+00  0.000000000E+00  9.999776728E+00 
        11  9.717825941E+00  0.000000000E+00  9.999765944E+00 
        12  1.064687935E+01  0.000000000E+00  9.999752709E+00 
        13  1.156841377E+01  0.000000000E+00  9.999737614E+00 
        14  1.248249006E+01  0.000000000E+00  9.999721076E+00 
        15  1.338916858E+01  0.000000000E+00  9.999703385E+00 
        16  1.428850920E+01  0.000000000E+00  9.999684739E+00 
        17  1.518057130E+01  0.000000000E+00  9.999665266E+00 
        18  1.606541380E+01  0.000000000E+00  9.999645044E+00 
        19  1.694309512E+01  0.000000000E+00  9.999624113E+00 
        20  1.781367322E+01  0.000000000E+00  9.999602484E+00 
        21  1.867720559E+01  0.000000000E+00  9.999580145E+00 
        22  1.953374925E+01  0.000000000E+00  9.999557064E+00 
        23  2.038336076E+01  0.000000000E+00  9.999533196E+00 
        24  2.122609622E+01  0.000000000E+00  9.999508481E+00 
        25  2.206201128E+01  0.000000000E+00  9.999482851E+00 
        26  2.289116114E+01  0.000000000E+00  9.999456223E+00 
        27  2.371360056E+01  0.000000000E+00  9.999428508E+00 
        28  2.452938383E+01  0.000000000E+00  9.999399605E+00 
        29  2.533856484E+01  0.000000000E+00  9.999369407E+00 
        30  2.614119701E+01  0.000000000E+00  9.999337794E+00 
        31  2.693733335E+01  0.000000000E+00  9.999304639E+00 
        32  2.772702642E+01  0.000000000E+00  9.999269805E+00 
        33  2.851032837E+01  0.000000000E+00  9.999233146E+00 
        34  2.928729093E+01  0.000000000E+00  9.999194506E+00 
        35  3.005796541E+01  0.000000000E+00  9.999153719E+00 
        36  3.082240268E+01  0.000000000E+00  9.999110607E+00 
        37  3.158065324E+01  0.000000000E+00  9.999064985E+00 
        38  3.233276716E+01  0.000000000E+00  9.999016653E+00 
        39  3.307879409E+01  0.000000000E+00  9.998965403E+00 
        40  3.381878330E+01  0.000000000E+00  9.998911016E+00 
        41  3.455278365E+01  0.000000000E+00  9.998853258E+00 
        42  3.528084362E+01  0.000000000E+00  9.998791889E+00 
        43  3.600301127E+01  0.000000000E+00  9.998726651E+00 
        44  3.671933431E+01  0.000000000E+00  9.998657280E+00 
        45  3.742986002E+01  0.000000000E+00  9.998583496E+00 
        46  3.813463533E+01  0.000000000E+00  9.998505008E+00 
        47  3.883370678E+01  0.000000000E+00  9.998421514E+00 
        48  3.952712052E+01  0.000000000E+00  9.998332699E+00 
        49  4.021492235E+01  0.000000000E+00  9.998238237E+00 
        50  4.089715769E+01  0.000000000E+00  9.998137790E+00 
        51  4.157387159E+01  0.000000000E+00  9.998031007E+00 
        52  4.224510872E+01  0.000000000E+00  9.997917526E+00 
        53  4.291091342E+01  0.000000000E+00  9.997796976E+00 
        54  4.357132966E+01  0.000000000E+00  9.997668971E+00 
        55  4.422640104E+01  0.000000000E+00  9.997533117E+00 
        56  4.487617081E+01  0.000000000E+00  9.997389008E+00 
        57  4.552068189E+01  0.000000000E+00  9.997236229E+00 
        58  4.615997684E+01  0.000000000E+00  9.997074354E+00 
        59  4.679409786E+01  0.000000000E+00  9.996902948E+00 
        60  4.742308684E+01  0.000000000E+00  9.996721569E+00 
        61  4.804698530E+01  0.000000000E+00  9.996529762E+00 
        62  4.866583446E+01  0.000000000E+00  9.996327068E+00 
        63  4.927967516E+01  0.000000000E+00  9.996113019E+00 
        64  4.988854795E+01  0.000000000E+00  9.995887141E+00 
        65  5.049249303E+01  0.000000000E+00  9.995648951E+00 
        66  5.109155028E+01  0.000000000E+00  9.995397962E+00 
        67  5.168575926E+01  0.000000000E+00  9.995133683E+00 
        68  5.227515921E+01  0.000000000E+00  9.994855616E+00 
        69  5.285978905E+01  0.000000000E+00  9.994563259E+00 
        70  5.343968738E+01  0.000000000E+00  9.994256108E+00 
        71  5.401489250E+01  0.000000000E+00  9.993933655E+00 
        72  5.458544238E+01  0.000000000E+00  9.993595390E+00 
        73  5.515137472E+01  0.000000000E+00  9.993240801E+00 
        74  5.571272686E+01  0.000000000E+00  9.992869374E+00 
        75  5.626953590E+01  0.000000000E+00  9.992480595E+00 
        76  5.682183858E+01  0.000000000E+00  9.992073950E+00 
        77  5.736967139E+01  0.000000000E+00  9.991648924E+00 
        78  5.791307049E+01  0.000000000E+00  9.991205004E+00 
        79  5.845207178E+01  0.000000000E+00  9.990741676E+00 
        80  5.898671083E+01  0.000000000E+00  9.990258428E+00 
        81  5.951702297E+01  0.000000000E+00  9.989754750E+00 
        82  6.004304320E+01  0.000000000E+00  9.989230133E+00 
        83  6.056480627E+01  0.000000000E+00  9.988684067E+00 
        84  6.108234661E+01  0.000000000E+00  9.988116046E+00 
        85  6.159569842E+01  0.000000000E+00  9.987525564E+00 
        86  6.210489559E+01  0.000000000E+00  9.986912115E+00 
        87  6.260997174E+01  0.000000000E+00  9.986275194E+00 
        88  6.311096022E+01  0.000000000E+00  9.985614295E+00 
        89  6.360789412E+01  0.000000000E+00  9.984928908E+00 
        90  6.410080625E+01  0.000000000E+00  9.984218523E+00 
        91  6.458972916E+01  0.000000000E+00  9.983482624E+00 
        92  6.507469514E+01  0.000000000E+00  9.982720690E+00 
        93  6.555573621E+01  0.000000000E+00  9.981932190E+00 
        94  6.603288413E+01  0.000000000E+00  9.981116585E+00 
        95  6.650617042E+01  0.000000000E+00  9.980273320E+00 
        96  6.697562632E+01  0.000000000E+00  9.979401825E+00 
        97  6.744128283E+01  0.000000000E+00  9.978501511E+00 
        98  6.790317071E+01  0.000000000E+00  9.977571762E+00 
        99  6.836132046E+01  0.000000000E+00  9.976611936E+00 
       100  6.881576232E+01  0.000000000E+00  9.975621355E+00 
       101  6.926652631E+01  0.000000000E+00  9.974599301E+00 
       102  6.971364219E+01  0.000000000E+00  9.973545010E+00 
       103  7.015713949E+01  0.000000000E+00  9.972457663E+00 
       104  7.059704749E+01  0.000000000E+00  9.971336377E+00 
