nodenumber     x-coordinate     y-coordinate           udm-11 
         1  0.000000000E+00  0.000000000E+00  1.000270094E+01 
         2  1.007701384E+00  0.000000000E+00  1.000258792E+01 
         3  2.007247274E+00  0.000000000E+00  1.000105824E+01 
         4  2.998703673E+00  0.000000000E+00  9.999695655E+00 
         5  3.982136051E+00  0.000000000E+00  9.999761472E+00 
         6  4.957609346E+00  0.000000000E+00  9.999798937E+00 
         7  5.925187975E+00  0.000000000E+00  9.999823207E+00 
         8  6.884935829E+00  0.000000000E+00  9.999837922E+00 
         9  7.836916284E+00  0.000000000E+00  9.999845728E+00 
        10  8.781192203E+00  0.000000000E+00  9.999848516E+00 
        11  9.717825941E+00  0.000000000E+00  9.999847635E+00 
        12  1.064687935E+01  0.000000000E+00  9.999844047E+00 
        13  1.156841377E+01  0.000000000E+00  9.999838442E+00 
        14  1.248249006E+01  0.000000000E+00  9.999831307E+00 
        15  1.338916858E+01  0.000000000E+00  9.999822987E+00 
        16  1.428850920E+01  0.000000000E+00  9.999813723E+00 
        17  1.518057130E+01  0.000000000E+00  9.999803683E+00 
        18  1.606541380E+01  0.000000000E+00  9.999792975E+00 
        19  1.694309512E+01  0.000000000E+00  9.999781672E+00 
        20  1.781367322E+01  0.000000000E+00  9.999769812E+00 
        21  1.867720559E+01  0.000000000E+00  9.999757413E+00 
        22  1.953374925E+01  0.000000000E+00  9.999744475E+00 
        23  2.038336076E+01  0.000000000E+00  9.999730985E+00 
        24  2.122609622E+01  0.000000000E+00  9.999716919E+00 
        25  2.206201128E+01  0.000000000E+00  9.999702242E+00 
        26  2.289116114E+01  0.000000000E+00  9.999686913E+00 
        27  2.371360056E+01  0.000000000E+00  9.999670883E+00 
        28  2.452938383E+01  0.000000000E+00  9.999654096E+00 
        29  2.533856484E+01  0.000000000E+00  9.999636490E+00 
        30  2.614119701E+01  0.000000000E+00  9.999617997E+00 
        31  2.693733335E+01  0.000000000E+00  9.999598540E+00 
        32  2.772702642E+01  0.000000000E+00  9.999578039E+00 
        33  2.851032837E+01  0.000000000E+00  9.999556404E+00 
        34  2.928729093E+01  0.000000000E+00  9.999533538E+00 
        35  3.005796541E+01  0.000000000E+00  9.999509339E+00 
        36  3.082240268E+01  0.000000000E+00  9.999483694E+00 
        37  3.158065324E+01  0.000000000E+00  9.999456483E+00 
        38  3.233276716E+01  0.000000000E+00  9.999427578E+00 
        39  3.307879409E+01  0.000000000E+00  9.999396842E+00 
        40  3.381878330E+01  0.000000000E+00  9.999364128E+00 
        41  3.455278365E+01  0.000000000E+00  9.999329279E+00 
        42  3.528084362E+01  0.000000000E+00  9.999292131E+00 
        43  3.600301127E+01  0.000000000E+00  9.999252505E+00 
        44  3.671933431E+01  0.000000000E+00  9.999210217E+00 
        45  3.742986002E+01  0.000000000E+00  9.999165067E+00 
        46  3.813463533E+01  0.000000000E+00  9.999116847E+00 
        47  3.883370678E+01  0.000000000E+00  9.999065338E+00 
        48  3.952712052E+01  0.000000000E+00  9.999010308E+00 
        49  4.021492235E+01  0.000000000E+00  9.998951513E+00 
